Date,NAV,Change,Change(%),Fund Name,Plan,AMC Name,Launch Date,AUM (Crore),TER (%),Invested Amount,Current Value,Return (%),YTM,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8
2023-08-02,1320.4102,0.36,0.03,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-01,1320.0492,0.64,0.05,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-07-31,1319.4113,0.74,0.06,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-07-28,1318.6729,-0.17,-0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-07-27,1318.844,0.75,0.06,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-07-26,1318.0972,0.59,0.05,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-07-25,1317.5063,0.04,0.0,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-07-24,1317.4627,0.8,0.06,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-07-21,1316.6646,0.27,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-07-20,1316.3924,0.58,0.04,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
